id,course_id,english,russian
2,4,a,эй
3,4,above,наверху
4,4,accident,~случайность, несчастный случай, катастрофа~
5,4,acrobat,акробат
6,4,act,действие
7,4,add,добавлять
8,4,address,адрес
9,4,adult,взрослый
10,4,aeroplane,аэроплан
11,4,airport,аэропорт
12,4,alligator,аллигатор
13,4,alphabet,алфавит
14,4,ambulance,скорая помощь
15,4,American football,Американский футбол
16,4,anchor,якорь
17,4,angry,сердитый
18,4,animal,животное
19,4,ankle,лодыжка
20,4,ant,муравей
21,4,ape,подражать
22,4,apple,яблоко
23,4,aquarium,аквариум
24,4,arm,рука
25,4,armadillo,броненосец
26,4,arrow,стрела
27,4,artist,художник
28,4,astronaut,астронавт
29,4,athlete,легкоатлет
30,4,audience,публика
31,4,author,писатель
32,4,avalanche,лавина
33,4,b,би
34,4,baby,младенец
35,4,back,спина
36,4,back,сзади
37,4,bake,выпекать
38,4,balance,равновесие
39,4,ball,мяч
40,4,balloon,воздушный шар
41,4,banana,банан
42,4,band,оркестр
43,4,bandage,бинт
44,4,bank,насыпь
45,4,bank,банк
46,4,barbecue,шашлык
47,4,barn,амбар
48,4,baseball,бейсбол
49,4,basket,корзина
50,4,bat,летучая мышь
51,4,bat,бита
52,4,bath,ванна
53,4,battery,батарея
54,4,beach,пляж
55,4,beak,клюв
56,4,bear,медведь
57,4,beard,борода
58,4,beaver,бобр
59,4,bed,кровать
60,4,bee,пчела
61,4,beetle,жук
62,4,behind,~сзади, позади~
63,4,bell,колокольчик
64,4,below,внизу
65,4,belt,пояс
66,4,berry,ягода
67,4,between,между
68,4,bicycle,велосипед
69,4,big,большой
70,4,binoculars,бинокль
71,4,bird,птица
72,4,birthday,день рождения
73,4,bite,кусать
74,4,black,черный
75,4,blanket,шерстяное одеяло
76,4,blind,слепой
77,4,blood,кровь
78,4,blossom,цветение
79,4,blouse,блузка
80,4,blow,дуть
81,4,blue,голубой
82,4,boat,лодка
83,4,body,тело
84,4,bone,кость
85,4,3,книга
86,4,boomerang,бумеранг
87,4,bottle,бутылка
88,4,bottom,низ
89,4,bowl,чаша
90,4,box,коробка
91,4,boy,мальчик
92,4,brain,мозг
93,4,branch,ветвь
94,4,bread,хлеб
95,4,break,ломать
96,4,breakfast,завтрак
97,4,bride,невеста
98,4,bridge,мост
99,4,brown,коричневый
100,4,brush,щетка
101,4,bucket,ведро
102,4,bud,почка
103,4,building,здание
104,4,bulb,луковица
105,4,bulb,лампочка
106,4,bulldozer,бульдозер
107,4,burglar,грабитель
108,4,burn,жечь
109,4,bus,автобус
110,4,butter,масло
111,4,butterfly,бабочка
112,4,button,пуговица
113,4,button,кнопка
114,4,buy,покупать
115,4,c,си
116,4,cabbage,капуста кончанная
117,4,cabin,хижина
118,4,cactus,кактус
119,4,calculator,калькулятор
120,4,calendar,календарь
121,4,camel,верблюд
122,4,camera,фотоаппарат
123,4,camp,лагерь
124,4,can,консервная банка
125,4,candle,свеча
126,4,canoe,каноэ
127,4,cap,шапка
128,4,car,автомобиль
129,4,carnation,гвоздика садовая
130,4,carrot,морковь
131,4,carry,носить
